character_id,age,sex,height_cm,weight_kg,strength,reaction,stamina,speed,intelligence,perception,agility,endurance,stress_resistance,luck,panic,fatigue,hunger,thirst,mental_stability,focus,confidence,pain_tolerance,has_flashlight,flashlight_battery,has_knife,has_backpack,has_first_aid_kit,medkit_count,has_water,water_amount,has_food,food_amount,has_radio,level_id,level_difficulty,visibility,entity_density,entity_aggression,resource_density,maze_complexity,geometry_stability,spawn_area_danger,distance_to_nearest_entity,noise_generated,time_since_last_encounter,special_rule,survived_24h,survival_time_hours,escape_probability
1,34,M,195.0,101.5,87.06,22.97,89.96,83.26,57.57,43.09,27.56,64.99,80.99,24.68,2.38,14.04,21.95,30.6,39.94,58.19,43.14,63.83,1,42.57,0,0,1,3,0,0.0,1,6.8,1,2,3.07,31.44,31.42,11.75,66.34,8.57,52.4,11.75,86.86,0.43,72.11,none,0,200.25,86.88
2,26,M,176.4,81.3,50.75,7.71,42.38,61.29,15.08,39.68,20.07,24.37,40.86,38.76,40.1,44.67,49.84,52.83,25.35,4.74,2.09,20.94,0,0.0,0,1,0,0,1,1.54,0,0.0,1,end,5.5,66.73,49.88,36.85,23.07,65.36,66.73,36.85,56.62,12.22,62.29,trap_exit,0,50.34,22.27
3,42,F,174.2,89.3,43.02,17.08,43.14,46.84,48.64,32.8,16.14,15.88,40.8,62.4,10.67,25.48,23.0,30.42,26.82,44.15,8.09,18.01,1,33.98,1,0,1,3,1,3.28,1,6.36,1,6,4.16,18.22,86.71,26.72,61.72,39.52,72.89,26.72,19.79,3.26,67.3,darkness,1,203.04,75.99
4,28,F,171.4,81.9,37.73,11.21,36.29,38.45,13.4,50.18,17.25,32.66,94.56,93.05,0.9,13.54,10.1,15.89,79.83,14.71,23.45,37.49,1,15.46,1,1,0,0,1,3.84,1,7.54,1,5,5.5,85.47,28.1,20.37,74.15,30.12,85.47,20.37,88.42,0.84,70.11,none,1,183.76,81.38
5,39,F,164.2,83.6,35.77,23.5,30.38,31.13,53.34,29.2,16.91,31.79,78.71,11.77,1.95,20.17,12.1,17.28,32.53,52.75,9.86,27.06,1,39.84,0,1,0,0,1,3.57,1,6.98,1,0,4.17,41.03,27.25,5.25,68.17,51.22,41.03,5.25,90.79,0.36,71.25,none,1,179.34,67.58
6,35,F,164.5,78.1,19.72,23.22,20.94,18.88,47.46,44.22,7.06,13.27,41.0,49.15,34.6,16.57,17.02,19.92,17.13,26.17,10.82,6.46,0,0.0,1,0,0,0,0,0.0,1,4.87,0,0,5.5,46.75,34.74,30.5,45.98,28.25,46.75,30.5,79.78,29.88,69.25,none,0,108.13,55.12
7,32,F,181.2,100.0,63.63,15.19,52.31,63.56,58.47,37.42,19.05,14.14,23.36,41.45,14.04,14.13,16.55,18.35,17.77,45.55,2.55,15.34,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,5.5,75.31,33.98,15.83,35.12,60.54,75.31,15.83,79.22,1.22,67.95,none,1,123.13,53.42
8,35,M,184.2,96.2,80.99,44.28,80.48,77.17,65.92,62.31,49.39,41.94,51.14,55.51,5.74,5.95,6.48,7.55,31.12,59.91,1.6,40.44,1,32.28,0,0,1,2,0,0.0,1,4.79,0,8,5.5,61.04,55.1,11.85,45.18,100.0,61.04,11.85,56.42,1.45,69.21,none,1,170.46,66.77
9,30,M,183.0,83.2,53.37,11.98,57.46,58.88,24.21,80.22,52.63,46.35,79.59,88.64,0.78,12.96,12.85,16.53,25.12,15.36,13.68,46.47,0,0.0,1,0,0,0,1,3.15,1,6.09,0,5,3.96,29.87,23.62,6.05,58.86,40.14,29.87,6.05,96.22,0.44,72.16,none,1,224.02,80.65
10,34,F,168.9,79.4,43.29,37.69,16.4,24.5,55.39,74.95,19.92,17.19,57.38,29.67,3.49,76.52,57.65,61.06,43.77,47.52,2.73,18.34,0,0.0,1,1,0,0,0,0.0,0,0.0,1,6,5.5,19.26,25.7,23.98,22.81,92.61,77.05,23.98,88.08,2.47,67.59,darkness,1,86.23,37.22
